order_id,order_key,order_date,quantity,discount_pct,item_price,payment_method,net_revenue,product_name,unit_cost,unit_margin,unit_price,category_name,customer_name,customer_type,acquisition_channel,country,city,signup_date,region_name
3820,1,12/4/2023,3,20,12.8,PayPal,30.72,Scrunchie Style 19,3,8,11,Classic Scrunchies,Alexander Clark,Returning,Organic,Canada,Red Deer,8/23/2023,Ontario
1442,2,10/15/2024,2,5,7.5,PayPal,14.25,Scrunchie Style 27,3,4,7,Seasonal Prints,Alexander Lopez,Returning,Email,Canada,Quebec City,5/20/2024,Prairies
2391,3,11/4/2023,3,10,7.5,Debit,20.25,Scrunchie Style 50,2,7,10,Mini Scrunchies,Sophia Anderson,New,Email,Canada,Winnipeg,4/27/2024,Alberta
1385,4,1/22/2024,3,0,8.9,Credit Card,26.7,Scrunchie Style 12,2,6,8,Seasonal Prints,Hannah Anderson,Returning,Referral,Canada,Edmonton,12/19/2023,Prairies
2157,5,10/15/2023,1,5,6.6,Debit,6.27,Scrunchie Style 3,3,11,15,Seasonal Prints,Emily Roberts,New,Referral,Canada,Edmonton,6/20/2023,Alberta
4945,6,10/6/2023,4,10,10.9,Debit,39.24,Scrunchie Style 4,4,10,14,Scrunchie Bundles,Natalie Bouchard,Returning,Paid Ads,Canada,Halifax,1/26/2023,Quebec
4397,7,10/28/2023,4,0,13.7,PayPal,54.8,Scrunchie Style 47,3,4,8,Luxury Silk Scrunchies,Sophia Nguyen,New,Paid Ads,Canada,Laval,6/7/2024,Quebec
1392,8,11/26/2023,4,20,9.6,Credit Card,30.72,Scrunchie Style 47,3,4,8,Luxury Silk Scrunchies,Liam Roy,New,Email,Canada,Red Deer,9/18/2023,Ontario
4801,9,11/4/2024,1,10,11.8,Debit,10.62,Scrunchie Style 11,3,7,10,Mini Scrunchies,Chloe Martin,VIP,Paid Ads,Canada,Quebec City,5/7/2024,Ontario
3143,10,8/31/2023,3,15,14.8,Debit,37.74,Scrunchie Style 34,2,7,9,Classic Scrunchies,Rachel Gagnon,New,Referral,Canada,London,5/27/2023,Atlantic
269,11,4/13/2023,1,15,7.7,Debit,6.545,Scrunchie Style 18,2,9,11,Scrunchie Bundles,Benjamin Johnson,New,Email,Canada,Red Deer,2/21/2024,Alberta
3918,12,6/16/2024,4,15,9.2,Credit Card,31.28,Scrunchie Style 35,2,12,14,Seasonal Prints,Mia Wilson,Returning,Referral,Canada,Toronto,4/15/2023,Quebec
