customer_id,first_name,last_name,email,signup_date,customer_type,acquisition_channel,city,province,country,region_id
1,Chloe,Taylor,chloe.taylor328@shaw.ca,2023-04-13,Returning,Referral,Richmond,British Columbia,Canada,3
2,Charlotte,Roberts,charlotte.roberts704@gmail.com,2023-03-13,Returning,Referral,Coquitlam,British Columbia,Canada,2
3,Lucas,Johnson,lucas.johnson338@shaw.ca,2024-04-11,New,Referral,Vancouver,British Columbia,Canada,5
4,James,Nguyen,james.nguyen833@shaw.ca,2023-04-10,New,Referral,Coquitlam,British Columbia,Canada,6
5,Chloe,Lewis,chloe.lewis559@shaw.ca,2023-11-05,VIP,Email,Winnipeg,Manitoba,Canada,6
6,Alexander,Lee,alexander.lee448@telus.net,2024-01-21,New,Organic,Burnaby,British Columbia,Canada,1
7,Mia,Anderson,mia.anderson194@gmail.com,2024-04-04,Returning,Organic,Edmonton,Alberta,Canada,4
8,Benjamin,Taylor,benjamin.taylor926@hotmail.com,2024-07-14,Returning,Referral,Ottawa,Ontario,Canada,2
9,Olivia,Roberts,olivia.roberts180@telus.net,2024-04-20,VIP,Referral,Montreal,Quebec,Canada,6
10,William,Walker,william.walker821@shaw.ca,2024-11-17,Returning,Email,Halifax,Nova Scotia,Canada,4
11,Sophia,Johnson,sophia.johnson181@hotmail.com,2024-05-19,New,Referral,Halifax,Nova Scotia,Canada,5
12,Laura,White,laura.white564@hotmail.com,2023-06-16,New,Organic,Surrey,British Columbia,Canada,4
13,Chloe,Pelletier,chloe.pelletier463@hotmail.com,2023-01-14,Returning,Organic,Mississauga,Ontario,Canada,2
14,Isabella,Clark,isabella.clark646@shaw.ca,2024-07-18,New,Email,Toronto,Ontario,Canada,4
15,Zoe,White,zoe.white376@telus.net,2024-03-30,Returning,Email,Edmonton,Alberta,Canada,3
16,Julia,Wilson,julia.wilson963@hotmail.com,2023-07-25,New,Paid Ads,Halifax,Nova Scotia,Canada,4
17,Madison,Gagnon,madison.gagnon924@gmail.com,2023-01-02,New,Paid Ads,Burnaby,British Columbia,Canada,2
18,Noah,King,noah.king680@shaw.ca,2024-04-21,VIP,Paid Ads,Toronto,Ontario,Canada,4
19,Natalie,Lewis,natalie.lewis505@telus.net,2023-06-11,New,Email,Mississauga,Ontario,Canada,6
20,Natalie,Morin,natalie.morin371@shaw.ca,2023-09-28,New,Referral,Halifax,Nova Scotia,Canada,4
21,Charlotte,White,charlotte.white697@telus.net,2024-12-02,New,Email,Halifax,Nova Scotia,Canada,5
22,Benjamin,Young,benjamin.young193@telus.net,2023-12-04,Returning,Email,Calgary,Alberta,Canada,2
23,Madison,Johnson,madison.johnson911@shaw.ca,2023-08-05,New,Email,Burnaby,British Columbia,Canada,5
24,Hannah,Wright,hannah.wright490@telus.net,2023-02-10,New,Organic,Winnipeg,Manitoba,Canada,1
25,Daniel,Lopez,daniel.lopez796@gmail.com,2024-06-04,Returning,Email,Winnipeg,Manitoba,Canada,3
26,Zoe,Taylor,zoe.taylor214@hotmail.com,2024-05-13,Returning,Referral,Halifax,Nova Scotia,Canada,3
27,Ella,Wright,ella.wright839@gmail.com,2023-10-16,Returning,Paid Ads,Edmonton,Alberta,Canada,2
28,Natalie,Roberts,natalie.roberts619@shaw.ca,2023-02-10,VIP,Organic,London,Ontario,Canada,4
29,Julia,Taylor,julia.taylor256@shaw.ca,2023-02-02,New,Referral,Halifax,Nova Scotia,Canada,6
30,Liam,Gagnon,liam.gagnon713@gmail.com,2023-04-09,Returning,Paid Ads,Red Deer,Alberta,Canada,3
31,Noah,Chen,noah.chen999@hotmail.com,2024-06-30,New,Organic,Vancouver,British Columbia,Canada,6
32,Rachel,Roy,rachel.roy346@gmail.com,2024-10-04,Returning,Paid Ads,Mississauga,Ontario,Canada,6
33,Natalie,Kaur,natalie.kaur935@telus.net,2024-01-28,Returning,Paid Ads,Vancouver,British Columbia,Canada,2
34,Sophia,Gagnon,sophia.gagnon775@shaw.ca,2024-04-05,New,Email,Winnipeg,Manitoba,Canada,1
35,Oliver,Singh,oliver.singh316@telus.net,2024-07-17,Returning,Email,Edmonton,Alberta,Canada,6
